task,location,canonical_file_count,has_window_date_mentions,window_dates,source_paths
planning/archive/20260506-171553-project-roadmap-audit,archive,3,False,,planning/archive/20260506-171553-project-roadmap-audit/findings.md | planning/archive/20260506-171553-project-roadmap-audit/progress.md | planning/archive/20260506-171553-project-roadmap-audit/task_plan.md
planning/archive/20260506-181951-roadmap-v1.1-planning-hygiene,archive,3,False,,planning/archive/20260506-181951-roadmap-v1.1-planning-hygiene/findings.md | planning/archive/20260506-181951-roadmap-v1.1-planning-hygiene/progress.md | planning/archive/20260506-181951-roadmap-v1.1-planning-hygiene/task_plan.md
planning/archive/20260506-183725-cross-ide-hook-capability-alignment,archive,3,False,,planning/archive/20260506-183725-cross-ide-hook-capability-alignment/findings.md | planning/archive/20260506-183725-cross-ide-hook-capability-alignment/progress.md | planning/archive/20260506-183725-cross-ide-hook-capability-alignment/task_plan.md
planning/archive/20260506-183740-cross-ide-single-source-consolidation,archive,3,False,,planning/archive/20260506-183740-cross-ide-single-source-consolidation/findings.md | planning/archive/20260506-183740-cross-ide-single-source-consolidation/progress.md | planning/archive/20260506-183740-cross-ide-single-source-consolidation/task_plan.md
planning/archive/20260506-183741-cross-ide-projection-audit,archive,3,False,,planning/archive/20260506-183741-cross-ide-projection-audit/findings.md | planning/archive/20260506-183741-cross-ide-projection-audit/progress.md | planning/archive/20260506-183741-cross-ide-projection-audit/task_plan.md
planning/archive/20260506-183741-cursor-official-load-model-research,archive,3,False,,planning/archive/20260506-183741-cursor-official-load-model-research/findings.md | planning/archive/20260506-183741-cursor-official-load-model-research/progress.md | planning/archive/20260506-183741-cursor-official-load-model-research/task_plan.md
planning/archive/20260506-184543-roadmap-v1.2-cross-ide-closure,archive,3,False,,planning/archive/20260506-184543-roadmap-v1.2-cross-ide-closure/findings.md | planning/archive/20260506-184543-roadmap-v1.2-cross-ide-closure/progress.md | planning/archive/20260506-184543-roadmap-v1.2-cross-ide-closure/task_plan.md
planning/archive/20260506-202253-rtk-support-feasibility-analysis,archive,3,False,,planning/archive/20260506-202253-rtk-support-feasibility-analysis/findings.md | planning/archive/20260506-202253-rtk-support-feasibility-analysis/progress.md | planning/archive/20260506-202253-rtk-support-feasibility-analysis/task_plan.md
planning/archive/20260506-210038-global-rule-context-load-analysis,archive,3,False,,planning/archive/20260506-210038-global-rule-context-load-analysis/findings.md | planning/archive/20260506-210038-global-rule-context-load-analysis/progress.md | planning/archive/20260506-210038-global-rule-context-load-analysis/task_plan.md
planning/archive/20260506-210537-roadmap-v1.3-context-budget-governance,archive,3,False,,planning/archive/20260506-210537-roadmap-v1.3-context-budget-governance/findings.md | planning/archive/20260506-210537-roadmap-v1.3-context-budget-governance/progress.md | planning/archive/20260506-210537-roadmap-v1.3-context-budget-governance/task_plan.md
planning/archive/20260506-220241-origin-cloud-harness-deployment-plan,archive,3,False,,planning/archive/20260506-220241-origin-cloud-harness-deployment-plan/findings.md | planning/archive/20260506-220241-origin-cloud-harness-deployment-plan/progress.md | planning/archive/20260506-220241-origin-cloud-harness-deployment-plan/task_plan.md
planning/archive/20260506-220846-readme-slim-pr,archive,3,False,,planning/archive/20260506-220846-readme-slim-pr/findings.md | planning/archive/20260506-220846-readme-slim-pr/progress.md | planning/archive/20260506-220846-readme-slim-pr/task_plan.md
planning/archive/20260506-221417-roadmap-v1.5-workflow-productization,archive,3,False,,planning/archive/20260506-221417-roadmap-v1.5-workflow-productization/findings.md | planning/archive/20260506-221417-roadmap-v1.5-workflow-productization/progress.md | planning/archive/20260506-221417-roadmap-v1.5-workflow-productization/task_plan.md
planning/archive/20260506-222324-harness-template-foundation,archive,3,False,,planning/archive/20260506-222324-harness-template-foundation/findings.md | planning/archive/20260506-222324-harness-template-foundation/progress.md | planning/archive/20260506-222324-harness-template-foundation/task_plan.md
planning/archive/20260506-222935-roadmap-implementation-plan,archive,3,False,,planning/archive/20260506-222935-roadmap-implementation-plan/findings.md | planning/archive/20260506-222935-roadmap-implementation-plan/progress.md | planning/archive/20260506-222935-roadmap-implementation-plan/task_plan.md
planning/archive/20260506-222935-roadmap-v1.6-release-readiness,archive,3,False,,planning/archive/20260506-222935-roadmap-v1.6-release-readiness/findings.md | planning/archive/20260506-222935-roadmap-v1.6-release-readiness/progress.md | planning/archive/20260506-222935-roadmap-v1.6-release-readiness/task_plan.md
planning/archive/20260602-231820-claude-github-network-diagnosis,archive,3,False,,planning/archive/20260602-231820-claude-github-network-diagnosis/findings.md | planning/archive/20260602-231820-claude-github-network-diagnosis/progress.md | planning/archive/20260602-231820-claude-github-network-diagnosis/task_plan.md
